accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,severity_index,risk_quartile
1693,Chandigarh,Punjab,30.791815,76.8744,2023-12-02,9:00,9,Saturday,Weekend,rural,1,1,rain,low,18,high,distraction,minor,4,4,Peak Hour,No Festival,0.8,16,Q4
1694,Pune,Maharashtra,18.449299,73.97002,2024-10-24,10:00,10,Thursday,Weekday,urban,3,1,fog,low,29,low,distraction,major,4,4,Peak Hour,No Festival,0.6,16,Q3
1695,Chandigarh,Punjab,30.664738,76.79405,2023-11-02,7:00,7,Thursday,Weekday,rural,6,1,clear,high,35,medium,weather,major,5,3,Non Peak Hour,No Festival,0.1,15,Q1
1696,Bangalore,Karnataka,12.900012,77.652916,2024-12-02,15:00,15,Monday,Weekday,rural,3,0,clear,high,17,high,weather,fatal,4,4,Non Peak Hour,No Festival,0.5,16,Q3
1697,Mumbai,Maharashtra,18.912598,72.954704,2022-06-03,21:00,21,Friday,Weekday,highway,4,1,rain,medium,38,high,distraction,major,4,1,Non Peak Hour,No Festival,0.45,4,Q2
1698,Chennai,Tamil Nadu,13.124754,80.18175,2023-03-10,23:00,23,Friday,Weekday,urban,5,0,rain,medium,21,high,weather,minor,1,0,Non Peak Hour,No Festival,0.45,0,Q2
1699,Hyderabad,Telangana,17.235342,78.506584,2024-01-22,21:00,21,Monday,Weekday,rural,1,0,rain,low,21,high,overspeeding,major,2,2,Non Peak Hour,No Festival,0.65,4,Q4
1700,Chandigarh,Punjab,30.732492,76.80753,2022-11-10,21:00,21,Thursday,Weekday,urban,2,1,clear,high,18,low,weather,minor,2,1,Non Peak Hour,No Festival,0.1,2,Q1
1701,Bangalore,Karnataka,13.065401,77.59486,2022-08-02,8:00,8,Tuesday,Weekday,rural,6,0,fog,low,28,high,weather,minor,5,1,Peak Hour,No Festival,0.8,5,Q4
1702,Pune,Maharashtra,18.561178,73.86266,2023-11-18,16:00,16,Saturday,Weekend,highway,5,1,fog,low,34,medium,poor road,minor,1,1,Non Peak Hour,No Festival,0.45,1,Q2
1703,Kolkata,West Bengal,22.516768,88.28501,2022-02-07,14:00,14,Monday,Weekday,highway,3,1,clear,high,18,high,poor road,minor,3,1,Non Peak Hour,No Festival,0.3,3,Q2
1704,Kolkata,West Bengal,22.633806,88.4881,2024-09-19,22:00,22,Thursday,Weekday,urban,6,0,clear,high,28,high,poor road,major,2,2,Non Peak Hour,No Festival,0.3,4,Q2
1705,Chennai,Tamil Nadu,13.184077,80.237854,2022-07-29,1:00,1,Friday,Weekday,urban,5,1,rain,medium,29,low,poor road,minor,5,4,Non Peak Hour,No Festival,0.25,20,Q1
1706,Delhi,Delhi,28.656282,76.82631,2024-06-17,9:00,9,Monday,Weekday,urban,4,0,clear,high,19,high,poor road,major,5,3,Peak Hour,No Festival,0.45,15,Q2
1707,Hyderabad,Telangana,17.34352,78.44251,2022-04-05,16:00,16,Tuesday,Weekday,urban,6,1,rain,medium,31,low,overspeeding,minor,1,0,Non Peak Hour,No Festival,0.25,0,Q1
1708,Pune,Maharashtra,18.448133,73.70254,2022-03-05,5:00,5,Saturday,Weekend,rural,3,0,rain,medium,34,high,poor road,minor,2,1,Non Peak Hour,No Festival,0.45,2,Q2
1709,Chandigarh,Punjab,30.756943,76.72156,2024-04-25,2:00,2,Thursday,Weekday,highway,3,0,rain,medium,25,medium,drunk driving,fatal,2,2,Non Peak Hour,No Festival,0.45,4,Q2
1710,Chandigarh,Punjab,30.632174,76.80505,2022-01-09,8:00,8,Sunday,Weekend,rural,4,0,rain,medium,15,medium,poor road,minor,4,2,Peak Hour,No Festival,0.4,8,Q2
1711,Delhi,Delhi,28.564379,76.907455,2024-01-08,22:00,22,Monday,Weekday,urban,2,0,clear,high,39,high,weather,major,1,0,Non Peak Hour,No Festival,0.3,0,Q2
1712,Kolkata,West Bengal,22.42089,88.43403,2022-04-30,20:00,20,Saturday,Weekend,rural,5,0,clear,high,26,medium,distraction,minor,2,2,Non Peak Hour,No Festival,0.1,4,Q1
1713,Pune,Maharashtra,18.63364,73.832886,2023-05-12,0:00,0,Friday,Weekday,highway,3,0,fog,low,18,medium,weather,major,2,0,Non Peak Hour,No Festival,0.45,0,Q2
1714,Pune,Maharashtra,18.53112,73.79799,2024-04-01,8:00,8,Monday,Weekday,rural,2,1,clear,high,28,medium,weather,minor,2,0,Peak Hour,No Festival,0.25,0,Q1
1715,Hyderabad,Telangana,17.42112,78.59171,2022-04-10,21:00,21,Sunday,Weekend,rural,3,1,fog,low,27,high,overspeeding,major,5,5,Non Peak Hour,No Festival,0.65,25,Q4
1716,Pune,Maharashtra,18.432995,73.70534,2024-05-21,3:00,3,Tuesday,Weekday,urban,3,0,rain,low,28,high,drunk driving,fatal,1,1,Non Peak Hour,No Festival,0.85,1,Q4
1717,Pune,Maharashtra,18.553095,73.914734,2024-11-06,17:00,17,Wednesday,Weekday,highway,3,1,fog,low,27,medium,drunk driving,major,4,0,Peak Hour,No Festival,0.6,0,Q3
1718,Pune,Maharashtra,18.509472,73.97313,2024-05-26,4:00,4,Sunday,Weekend,highway,5,1,fog,low,18,low,drunk driving,major,1,1,Non Peak Hour,No Festival,0.45,1,Q2
1719,Pune,Maharashtra,18.459154,73.96245,2023-07-27,20:00,20,Thursday,Weekday,rural,2,1,fog,low,38,low,distraction,minor,4,1,Non Peak Hour,No Festival,0.45,4,Q2
1720,Chandigarh,Punjab,30.742107,76.70384,2022-02-18,19:00,19,Friday,Weekday,urban,3,0,clear,high,33,medium,drunk driving,major,3,1,Peak Hour,No Festival,0.25,3,Q1
1721,Delhi,Delhi,28.612066,77.06137,2022-10-28,22:00,22,Friday,Weekday,urban,5,1,fog,low,37,medium,overspeeding,minor,1,1,Non Peak Hour,No Festival,0.45,1,Q2
1722,Bangalore,Karnataka,13.069503,77.76346,2022-04-09,15:00,15,Saturday,Weekend,rural,2,1,fog,low,35,low,overspeeding,minor,5,1,Non Peak Hour,No Festival,0.45,5,Q2
1723,Chandigarh,Punjab,30.646063,76.81264,2022-09-05,20:00,20,Monday,Weekday,rural,5,0,rain,low,27,medium,drunk driving,minor,3,0,Non Peak Hour,No Festival,0.45,0,Q2
1724,Chandigarh,Punjab,30.60058,76.82632,2022-12-21,7:00,7,Wednesday,Weekday,rural,4,0,rain,medium,16,low,distraction,minor,3,2,Non Peak Hour,No Festival,0.25,6,Q1
1725,Chennai,Tamil Nadu,12.964832,80.2158,2022-06-23,22:00,22,Thursday,Weekday,highway,6,1,clear,high,34,high,drunk driving,fatal,4,4,Non Peak Hour,No Festival,0.5,16,Q3
1726,Pune,Maharashtra,18.434393,73.77819,2023-05-03,17:00,17,Wednesday,Weekday,highway,6,0,rain,low,24,high,weather,major,2,0,Peak Hour,No Festival,0.8,0,Q4
1727,Pune,Maharashtra,18.52698,73.90558,2023-05-20,17:00,17,Saturday,Weekend,urban,3,1,clear,high,34,low,weather,fatal,5,5,Peak Hour,No Festival,0.45,25,Q2
1728,Chandigarh,Punjab,30.780342,76.88172,2023-12-10,10:00,10,Sunday,Weekend,highway,6,0,rain,low,33,high,overspeeding,minor,3,1,Peak Hour,No Festival,0.8,3,Q4
1729,Pune,Maharashtra,18.691536,73.71832,2024-11-24,14:00,14,Sunday,Weekend,rural,2,0,rain,medium,24,medium,poor road,major,1,1,Non Peak Hour,No Festival,0.25,1,Q1
1730,Bangalore,Karnataka,13.015905,77.67232,2024-09-18,0:00,0,Wednesday,Weekday,urban,3,1,clear,high,24,low,overspeeding,minor,2,1,Non Peak Hour,No Festival,0.1,2,Q1
1731,Pune,Maharashtra,18.512053,73.81261,2023-09-19,1:00,1,Tuesday,Weekday,rural,3,0,fog,low,40,low,overspeeding,major,5,2,Non Peak Hour,No Festival,0.45,10,Q2
1732,Delhi,Delhi,28.598019,77.14054,2024-01-11,2:00,2,Thursday,Weekday,urban,2,0,fog,low,32,low,distraction,minor,5,3,Non Peak Hour,No Festival,0.45,15,Q2
1733,Hyderabad,Telangana,17.275883,78.25344,2023-05-29,23:00,23,Monday,Weekday,rural,5,1,fog,low,23,high,overspeeding,minor,4,1,Non Peak Hour,No Festival,0.65,4,Q4
1734,Chennai,Tamil Nadu,13.064529,80.124596,2022-06-14,19:00,19,Tuesday,Weekday,highway,1,0,fog,low,30,low,weather,minor,4,4,Peak Hour,No Festival,0.6,16,Q3
1735,Mumbai,Maharashtra,19.194632,72.758316,2024-03-12,11:00,11,Tuesday,Weekday,highway,5,0,rain,medium,37,low,drunk driving,major,4,1,Non Peak Hour,No Festival,0.25,4,Q1
1736,Chennai,Tamil Nadu,13.056486,80.10854,2022-08-07,6:00,6,Sunday,Weekend,highway,3,0,clear,high,38,medium,drunk driving,major,5,3,Non Peak Hour,No Festival,0.1,15,Q1
1737,Delhi,Delhi,28.760904,76.80531,2024-10-15,10:00,10,Tuesday,Weekday,urban,1,0,fog,low,37,high,distraction,minor,4,0,Peak Hour,No Festival,0.8,0,Q4
1738,Kolkata,West Bengal,22.664854,88.260994,2024-01-11,12:00,12,Thursday,Weekday,highway,5,0,clear,high,16,high,overspeeding,fatal,2,2,Non Peak Hour,No Festival,0.5,4,Q3
1739,Delhi,Delhi,28.429308,77.026695,2023-11-25,16:00,16,Saturday,Weekend,urban,2,0,clear,high,33,low,drunk driving,fatal,3,3,Non Peak Hour,No Festival,0.3,9,Q2
1740,Bangalore,Karnataka,12.828241,77.74277,2024-12-24,14:00,14,Tuesday,Weekday,highway,1,0,rain,low,21,medium,drunk driving,minor,4,2,Non Peak Hour,No Festival,0.45,8,Q2
1741,Mumbai,Maharashtra,19.295967,72.86666,2022-03-09,22:00,22,Wednesday,Weekday,urban,1,0,fog,low,18,low,weather,major,1,1,Non Peak Hour,No Festival,0.45,1,Q2
1742,Hyderabad,Telangana,17.490986,78.38732,2023-05-23,3:00,3,Tuesday,Weekday,rural,1,1,rain,low,28,medium,distraction,major,5,5,Non Peak Hour,No Festival,0.45,25,Q2
1743,Bangalore,Karnataka,13.145792,77.57792,2023-03-30,13:00,13,Thursday,Weekday,urban,2,1,clear,high,40,high,poor road,fatal,3,3,Non Peak Hour,No Festival,0.5,9,Q3
1744,Mumbai,Maharashtra,18.94906,72.72693,2024-07-29,19:00,19,Monday,Weekday,urban,3,1,rain,low,34,high,poor road,major,4,2,Peak Hour,No Festival,0.8,8,Q4
1745,Mumbai,Maharashtra,19.189894,72.92277,2022-06-25,18:00,18,Saturday,Weekend,rural,2,1,fog,low,28,medium,weather,minor,5,5,Peak Hour,No Festival,0.6,25,Q3
1746,Mumbai,Maharashtra,19.017324,72.87284,2022-04-10,1:00,1,Sunday,Weekend,highway,3,1,fog,low,38,low,poor road,minor,5,2,Non Peak Hour,No Festival,0.45,10,Q2
1747,Chandigarh,Punjab,30.662603,76.7934,2024-01-18,13:00,13,Thursday,Weekday,urban,2,1,fog,low,27,medium,poor road,minor,3,3,Non Peak Hour,No Festival,0.45,9,Q2
1748,Delhi,Delhi,28.506853,77.15838,2024-09-23,11:00,11,Monday,Weekday,urban,3,0,clear,high,38,low,overspeeding,minor,4,0,Non Peak Hour,No Festival,0.1,0,Q1
1749,Hyderabad,Telangana,17.536715,78.44537,2024-02-04,23:00,23,Sunday,Weekend,rural,6,0,fog,low,31,medium,overspeeding,major,2,0,Non Peak Hour,No Festival,0.45,0,Q2
1750,Pune,Maharashtra,18.64677,73.86961,2023-06-20,19:00,19,Tuesday,Weekday,rural,4,0,rain,low,30,medium,weather,fatal,5,5,Peak Hour,No Festival,0.8,25,Q4
1751,Pune,Maharashtra,18.553953,73.993065,2022-02-19,23:00,23,Saturday,Weekend,urban,2,1,rain,low,24,high,weather,major,1,0,Non Peak Hour,No Festival,0.65,0,Q4
1752,Bangalore,Karnataka,12.990773,77.56759,2025-03-29,17:00,17,Saturday,Weekend,highway,3,1,clear,high,16,high,distraction,minor,3,2,Peak Hour,No Festival,0.45,6,Q2
1753,Mumbai,Maharashtra,19.250053,72.717575,2024-04-21,13:00,13,Sunday,Weekend,highway,2,0,rain,low,16,medium,distraction,fatal,2,2,Non Peak Hour,No Festival,0.65,4,Q4
1754,Delhi,Delhi,28.836113,77.040474,2023-04-04,6:00,6,Tuesday,Weekday,rural,5,0,clear,high,20,medium,drunk driving,minor,2,2,Non Peak Hour,No Festival,0.1,4,Q1
1755,Delhi,Delhi,28.66929,76.9027,2023-09-25,5:00,5,Monday,Weekday,urban,5,1,rain,medium,23,high,weather,major,1,0,Non Peak Hour,No Festival,0.45,0,Q2
1756,Delhi,Delhi,28.442905,77.17118,2022-05-15,7:00,7,Sunday,Weekend,urban,1,1,fog,low,40,medium,overspeeding,fatal,3,3,Non Peak Hour,No Festival,0.65,9,Q4
1757,Kolkata,West Bengal,22.457708,88.20432,2023-05-15,0:00,0,Monday,Weekday,urban,1,0,rain,medium,27,low,drunk driving,fatal,4,4,Non Peak Hour,No Festival,0.45,16,Q2
1758,Bangalore,Karnataka,13.003207,77.452934,2025-01-14,20:00,20,Tuesday,Weekday,rural,5,0,fog,low,32,low,drunk driving,major,2,2,Non Peak Hour,No Festival,0.45,4,Q2
1759,Kolkata,West Bengal,22.582182,88.37468,2024-01-01,5:00,5,Monday,Weekday,highway,3,0,clear,high,15,low,weather,minor,5,0,Non Peak Hour,No Festival,0.1,0,Q1
1760,Kolkata,West Bengal,22.413803,88.204,2023-04-06,11:00,11,Thursday,Weekday,urban,1,1,clear,high,29,low,drunk driving,major,4,1,Non Peak Hour,No Festival,0.1,4,Q1
1761,Delhi,Delhi,28.553171,77.15422,2025-03-15,5:00,5,Saturday,Weekend,rural,3,0,rain,medium,37,high,drunk driving,minor,1,1,Non Peak Hour,No Festival,0.45,1,Q2
1762,Delhi,Delhi,28.492386,77.18873,2023-06-26,23:00,23,Monday,Weekday,rural,5,0,rain,medium,32,high,overspeeding,fatal,2,2,Non Peak Hour,No Festival,0.65,4,Q4
1763,Pune,Maharashtra,18.401588,73.91329,2022-11-27,3:00,3,Sunday,Weekend,rural,6,1,clear,high,18,low,poor road,minor,4,4,Non Peak Hour,No Festival,0.1,16,Q1
1764,Delhi,Delhi,28.839314,76.83628,2024-10-15,21:00,21,Tuesday,Weekday,urban,1,0,clear,high,23,high,drunk driving,minor,5,5,Non Peak Hour,No Festival,0.3,25,Q2
1765,Bangalore,Karnataka,13.177389,77.691826,2023-10-11,2:00,2,Wednesday,Weekday,urban,5,0,clear,high,17,low,drunk driving,major,5,2,Non Peak Hour,No Festival,0.1,10,Q1
1766,Mumbai,Maharashtra,18.937502,72.74521,2023-08-26,3:00,3,Saturday,Weekend,highway,5,1,fog,low,20,low,weather,major,2,2,Non Peak Hour,No Festival,0.45,4,Q2
1767,Chandigarh,Punjab,30.609732,76.72474,2024-08-29,1:00,1,Thursday,Weekday,rural,4,1,rain,low,33,low,distraction,major,2,1,Non Peak Hour,No Festival,0.45,2,Q2
1768,Chandigarh,Punjab,30.70405,76.89174,2022-02-08,13:00,13,Tuesday,Weekday,urban,4,0,clear,high,20,medium,weather,minor,4,3,Non Peak Hour,No Festival,0.1,12,Q1
1769,Bangalore,Karnataka,12.872204,77.62218,2025-02-02,2:00,2,Sunday,Weekend,urban,2,1,rain,low,16,low,drunk driving,major,2,0,Non Peak Hour,No Festival,0.45,0,Q2
1770,Bangalore,Karnataka,12.861562,77.46636,2023-06-20,4:00,4,Tuesday,Weekday,highway,5,1,clear,high,37,high,drunk driving,minor,1,0,Non Peak Hour,No Festival,0.3,0,Q2
1771,Kolkata,West Bengal,22.534992,88.313545,2022-04-10,19:00,19,Sunday,Weekend,urban,1,1,clear,high,40,high,weather,fatal,5,5,Peak Hour,No Festival,0.65,25,Q4
1772,Delhi,Delhi,28.644432,77.15317,2024-12-19,16:00,16,Thursday,Weekday,urban,3,0,rain,medium,19,low,poor road,major,2,0,Non Peak Hour,No Festival,0.25,0,Q1
1773,Hyderabad,Telangana,17.585938,78.382126,2024-03-18,0:00,0,Monday,Weekday,urban,2,1,clear,high,35,low,poor road,major,3,3,Non Peak Hour,No Festival,0.1,9,Q1
1774,Bangalore,Karnataka,12.941383,77.415794,2022-03-31,3:00,3,Thursday,Weekday,rural,1,0,rain,medium,17,low,poor road,minor,3,3,Non Peak Hour,No Festival,0.25,9,Q1
1775,Chandigarh,Punjab,30.642681,76.89366,2023-06-19,23:00,23,Monday,Weekday,rural,6,0,fog,low,21,high,weather,minor,4,4,Non Peak Hour,No Festival,0.65,16,Q4
1776,Kolkata,West Bengal,22.587671,88.37064,2022-06-24,15:00,15,Friday,Weekday,urban,2,1,clear,high,40,medium,weather,major,1,1,Non Peak Hour,No Festival,0.1,1,Q1
1777,Pune,Maharashtra,18.541523,73.92998,2024-12-02,12:00,12,Monday,Weekday,highway,3,1,rain,medium,22,medium,drunk driving,minor,3,1,Non Peak Hour,No Festival,0.25,3,Q1
1778,Hyderabad,Telangana,17.245916,78.45744,2022-03-18,2:00,2,Friday,Weekday,urban,3,1,rain,low,38,low,weather,major,5,0,Non Peak Hour,No Festival,0.45,0,Q2
1779,Pune,Maharashtra,18.419659,73.72671,2022-02-01,6:00,6,Tuesday,Weekday,rural,4,0,clear,high,34,high,drunk driving,major,4,0,Non Peak Hour,No Festival,0.3,0,Q2
1780,Bangalore,Karnataka,13.023377,77.65737,2024-07-25,19:00,19,Thursday,Weekday,urban,2,0,fog,low,17,high,weather,minor,5,4,Peak Hour,No Festival,0.8,20,Q4
1781,Hyderabad,Telangana,17.483446,78.375374,2025-02-13,11:00,11,Thursday,Weekday,rural,2,0,fog,low,26,high,drunk driving,major,3,0,Non Peak Hour,No Festival,0.65,0,Q4
1782,Mumbai,Maharashtra,19.080412,72.99078,2024-10-11,11:00,11,Friday,Weekday,rural,4,0,clear,high,27,medium,overspeeding,minor,2,1,Non Peak Hour,No Festival,0.1,2,Q1
1783,Kolkata,West Bengal,22.537315,88.43636,2023-11-13,1:00,1,Monday,Weekday,urban,4,1,fog,low,36,medium,overspeeding,minor,5,4,Non Peak Hour,No Festival,0.45,20,Q2
1784,Chandigarh,Punjab,30.631657,76.754745,2022-09-16,4:00,4,Friday,Weekday,highway,2,1,fog,low,33,low,distraction,minor,5,3,Non Peak Hour,No Festival,0.45,15,Q2
1785,Delhi,Delhi,28.824507,76.971275,2023-02-27,6:00,6,Monday,Weekday,urban,6,0,clear,high,20,high,distraction,minor,5,1,Non Peak Hour,No Festival,0.3,5,Q2
1786,Chennai,Tamil Nadu,13.087733,80.10571,2023-01-15,11:00,11,Sunday,Weekend,rural,5,1,rain,medium,16,low,overspeeding,minor,1,0,Non Peak Hour,No Festival,0.25,0,Q1
1787,Chennai,Tamil Nadu,12.800331,80.17271,2022-09-13,6:00,6,Tuesday,Weekday,highway,1,1,clear,high,39,medium,weather,major,5,5,Non Peak Hour,No Festival,0.1,25,Q1
1788,Chennai,Tamil Nadu,12.993764,80.25269,2022-01-08,16:00,16,Saturday,Weekend,urban,1,0,fog,low,16,medium,distraction,fatal,4,4,Non Peak Hour,No Festival,0.65,16,Q4
1789,Kolkata,West Bengal,22.67901,88.411156,2022-05-21,19:00,19,Saturday,Weekend,urban,4,1,rain,medium,21,high,distraction,minor,4,4,Peak Hour,No Festival,0.6,16,Q3
1790,Chandigarh,Punjab,30.69606,76.85086,2024-04-16,22:00,22,Tuesday,Weekday,urban,1,0,clear,high,27,medium,poor road,minor,2,2,Non Peak Hour,No Festival,0.1,4,Q1
1791,Chandigarh,Punjab,30.740362,76.818375,2022-09-05,8:00,8,Monday,Weekday,rural,5,1,rain,low,15,medium,drunk driving,minor,3,3,Peak Hour,No Festival,0.6,9,Q3
1792,Kolkata,West Bengal,22.532278,88.49526,2025-03-18,22:00,22,Tuesday,Weekday,rural,2,1,clear,high,22,low,drunk driving,minor,4,2,Non Peak Hour,No Festival,0.1,8,Q1
1793,Hyderabad,Telangana,17.305845,78.236046,2024-07-27,17:00,17,Saturday,Weekend,urban,6,0,clear,high,27,medium,poor road,fatal,5,5,Peak Hour,No Festival,0.45,25,Q2
1794,Mumbai,Maharashtra,19.1437,72.84143,2023-03-20,2:00,2,Monday,Weekday,highway,6,0,fog,low,36,low,distraction,fatal,3,3,Non Peak Hour,No Festival,0.65,9,Q4
1795,Pune,Maharashtra,18.581718,73.70855,2023-10-23,14:00,14,Monday,Weekday,urban,2,0,clear,high,38,medium,weather,minor,5,1,Non Peak Hour,No Festival,0.1,5,Q1
1796,Bangalore,Karnataka,13.10672,77.77904,2023-07-14,6:00,6,Friday,Weekday,rural,3,1,clear,high,35,medium,drunk driving,minor,3,2,Non Peak Hour,No Festival,0.1,6,Q1
1797,Hyderabad,Telangana,17.551163,78.44107,2022-09-29,15:00,15,Thursday,Weekday,urban,2,1,fog,low,24,low,poor road,minor,2,2,Non Peak Hour,No Festival,0.45,4,Q2
1798,Chennai,Tamil Nadu,13.091225,80.15521,2023-04-13,0:00,0,Thursday,Weekday,rural,2,0,clear,high,31,low,overspeeding,minor,5,0,Non Peak Hour,No Festival,0.1,0,Q1
1799,Kolkata,West Bengal,22.66085,88.26458,2023-01-23,6:00,6,Monday,Weekday,highway,2,1,rain,medium,39,low,drunk driving,major,3,3,Non Peak Hour,No Festival,0.25,9,Q1
1800,Hyderabad,Telangana,17.513302,78.50136,2022-11-22,10:00,10,Tuesday,Weekday,rural,4,1,fog,low,26,high,overspeeding,major,5,4,Peak Hour,No Festival,0.8,20,Q4
1801,Delhi,Delhi,28.757095,77.24258,2024-07-04,2:00,2,Thursday,Weekday,highway,3,0,fog,low,34,medium,drunk driving,major,1,1,Non Peak Hour,No Festival,0.45,1,Q2
1802,Kolkata,West Bengal,22.556364,88.490166,2023-12-29,6:00,6,Friday,Weekday,highway,5,1,rain,low,24,low,overspeeding,major,3,3,Non Peak Hour,No Festival,0.45,9,Q2
1803,Pune,Maharashtra,18.621477,73.95578,2023-06-02,13:00,13,Friday,Weekday,highway,2,1,rain,low,39,high,overspeeding,minor,3,2,Non Peak Hour,No Festival,0.65,6,Q4
1804,Bangalore,Karnataka,13.154641,77.48315,2023-03-06,6:00,6,Monday,Weekday,rural,3,0,fog,low,23,high,overspeeding,minor,4,2,Non Peak Hour,No Festival,0.65,8,Q4
1805,Pune,Maharashtra,18.464794,73.77367,2023-01-08,22:00,22,Sunday,Weekend,rural,1,1,rain,medium,31,medium,distraction,major,3,3,Non Peak Hour,No Festival,0.25,9,Q1
1806,Hyderabad,Telangana,17.49804,78.43704,2023-04-06,9:00,9,Thursday,Weekday,rural,3,1,rain,medium,19,high,drunk driving,minor,1,1,Peak Hour,No Festival,0.6,1,Q3
1807,Mumbai,Maharashtra,19.244726,72.8707,2024-12-19,7:00,7,Thursday,Weekday,urban,6,0,rain,low,17,low,poor road,fatal,3,3,Non Peak Hour,No Festival,0.65,9,Q4
1808,Mumbai,Maharashtra,18.843538,72.78001,2023-11-08,16:00,16,Wednesday,Weekday,urban,5,1,clear,high,22,low,overspeeding,major,4,4,Non Peak Hour,No Festival,0.1,16,Q1
1809,Kolkata,West Bengal,22.581594,88.386154,2025-01-30,17:00,17,Thursday,Weekday,urban,5,1,fog,low,25,high,poor road,major,4,2,Peak Hour,No Festival,0.8,8,Q4
1810,Pune,Maharashtra,18.616722,73.88458,2023-11-26,17:00,17,Sunday,Weekend,rural,5,0,clear,high,33,medium,distraction,minor,1,0,Peak Hour,No Festival,0.25,0,Q1
1811,Hyderabad,Telangana,17.233664,78.28578,2023-01-02,17:00,17,Monday,Weekday,highway,3,1,fog,low,40,medium,overspeeding,fatal,5,5,Peak Hour,No Festival,0.8,25,Q4
1812,Delhi,Delhi,28.894428,77.02551,2024-06-10,20:00,20,Monday,Weekday,urban,5,1,rain,low,21,medium,weather,fatal,5,5,Non Peak Hour,No Festival,0.65,25,Q4
1813,Delhi,Delhi,28.744114,77.05639,2025-03-10,16:00,16,Monday,Weekday,highway,3,0,clear,high,34,low,weather,major,3,0,Non Peak Hour,No Festival,0.1,0,Q1
1814,Kolkata,West Bengal,22.576134,88.29245,2023-09-14,16:00,16,Thursday,Weekday,rural,3,0,rain,medium,16,high,distraction,minor,3,2,Non Peak Hour,No Festival,0.45,6,Q2
1815,Delhi,Delhi,28.586811,77.04014,2023-09-16,19:00,19,Saturday,Weekend,urban,2,1,rain,low,30,medium,overspeeding,minor,2,1,Peak Hour,No Festival,0.6,2,Q3
1816,Bangalore,Karnataka,12.853215,77.79157,2024-03-04,13:00,13,Monday,Weekday,rural,5,1,clear,high,26,medium,weather,major,1,1,Non Peak Hour,No Festival,0.1,1,Q1
1817,Pune,Maharashtra,18.614428,73.83423,2023-12-17,13:00,13,Sunday,Weekend,highway,2,0,rain,low,34,high,weather,minor,5,3,Non Peak Hour,No Festival,0.65,15,Q4
1818,Kolkata,West Bengal,22.448957,88.22648,2022-04-20,18:00,18,Wednesday,Weekday,rural,4,1,rain,medium,18,high,weather,major,1,1,Peak Hour,No Festival,0.6,1,Q3
1819,Hyderabad,Telangana,17.370544,78.55177,2024-07-01,18:00,18,Monday,Weekday,rural,4,0,fog,low,35,low,distraction,minor,5,2,Peak Hour,No Festival,0.6,10,Q3
1820,Mumbai,Maharashtra,18.958157,72.886475,2024-11-14,16:00,16,Thursday,Weekday,rural,4,0,clear,high,36,high,distraction,major,4,4,Non Peak Hour,No Festival,0.3,16,Q2
1821,Chandigarh,Punjab,30.636337,76.80157,2022-04-04,1:00,1,Monday,Weekday,urban,6,1,rain,low,24,low,overspeeding,minor,3,0,Non Peak Hour,No Festival,0.45,0,Q2
1822,Pune,Maharashtra,18.54762,73.72196,2024-01-16,23:00,23,Tuesday,Weekday,rural,1,1,clear,high,36,medium,drunk driving,minor,4,0,Non Peak Hour,No Festival,0.1,0,Q1
1823,Hyderabad,Telangana,17.471899,78.36747,2023-03-30,13:00,13,Thursday,Weekday,rural,5,0,rain,medium,31,medium,drunk driving,major,4,1,Non Peak Hour,No Festival,0.25,4,Q1
1824,Chandigarh,Punjab,30.624739,76.78312,2024-01-19,6:00,6,Friday,Weekday,rural,2,1,clear,high,29,low,distraction,minor,3,0,Non Peak Hour,No Festival,0.1,0,Q1
1825,Delhi,Delhi,28.62743,76.81843,2023-09-29,11:00,11,Friday,Weekday,urban,5,0,rain,low,15,low,drunk driving,minor,2,1,Non Peak Hour,No Festival,0.45,2,Q2
1826,Mumbai,Maharashtra,18.914091,72.79282,2024-06-09,21:00,21,Sunday,Weekend,rural,4,0,rain,medium,40,medium,weather,minor,5,1,Non Peak Hour,No Festival,0.25,5,Q1
1827,Delhi,Delhi,28.403074,76.87198,2022-03-10,7:00,7,Thursday,Weekday,rural,5,0,rain,low,35,medium,poor road,minor,3,3,Non Peak Hour,No Festival,0.45,9,Q2
1828,Bangalore,Karnataka,12.845921,77.43252,2022-09-06,18:00,18,Tuesday,Weekday,rural,4,0,rain,low,40,low,poor road,minor,4,1,Peak Hour,No Festival,0.6,4,Q3
1829,Chandigarh,Punjab,30.7315,76.84991,2023-02-13,22:00,22,Monday,Weekday,urban,4,1,rain,low,40,medium,drunk driving,major,4,3,Non Peak Hour,No Festival,0.45,12,Q2
1830,Mumbai,Maharashtra,19.02615,72.75289,2024-12-24,16:00,16,Tuesday,Weekday,rural,3,1,clear,high,30,low,poor road,fatal,1,1,Non Peak Hour,No Festival,0.3,1,Q2
1831,Chandigarh,Punjab,30.691238,76.79023,2022-08-20,6:00,6,Saturday,Weekend,urban,2,0,clear,high,34,medium,overspeeding,major,1,0,Non Peak Hour,No Festival,0.1,0,Q1
1832,Chandigarh,Punjab,30.649162,76.706436,2024-07-10,9:00,9,Wednesday,Weekday,urban,6,0,fog,low,18,high,distraction,minor,4,0,Peak Hour,No Festival,0.8,0,Q4
